sale_id,product_id,customer_id,date,store_id,quantity,unit_price
02a265e8-d828-46d7-b9d9-aa8699d499bd,e4fc91b1-1f44-474a-8344-2f967fd2ea09,C0979,06-07-2025,7,2,702.36
13b18465-3566-46fc-af46-c404afe79044,ab68a217-94b1-44a4-8891-c1c0bada5860,C0156,03-07-2025,7,4,969.48
fac1a2f8-1925-4ea7-b84b-7a0824b9e5b1,d49b56fe-0473-4206-8ad9-43b1232b8b7e,C0734,09-07-2025,5,1,1218.39
c3e9537e-f79b-41d6-9444-efa35bf8bf39,f066e175-282b-4530-a45c-185d2a2788b7,C0112,09-07-2025,6,2,44.36
314c6bb2-444f-49c1-90d3-c72385975b2a,45a0f2ef-6c28-41ea-b8f9-c9353c3f3951,C0419,01-07-2025,1,1,333.23
11ca3208-dbed-4952-a84a-a883c5d50002,32151784-6f5c-414e-8ef9-811bebcaa063,C0249,12-07-2025,6,2,850.31
edf83cbc-bec3-4caa-8f26-97a70a173bd3,6c5b6f42-89ea-440b-8d46-4cf6c29a97e4,C0595,17-07-2025,9,4,891.6
9d33f426-add0-41f6-9b61-c9f7898451c1,90fbba8d-4977-44aa-a7b7-159adf09220e,C0752,14-07-2025,8,3,10053.64
9c2fee26-be18-40be-87f9-4b141d877948,b7f29566-7097-47cc-8aa9-f721e40171f3,C0752,09-07-2025,4,3,1193.77
d6838552-487d-4dc1-b026-9d5d916ce59a,fdba8147-a03c-433a-a26e-36240a1f3ef6,C0297,29-06-2025,6,2,816.27
7ee4c721-519b-4a2b-b2e7-e31ab69f59f8,d49b56fe-0473-4206-8ad9-43b1232b8b7e,C0030,10-07-2025,9,1,1218.39
8b2ed877-4b14-47c6-86be-05ef869d1664,00747120-f76e-436c-92b5-7277776c5852,C0861,18-07-2025,10,5,5383.51
71f83215-e3fc-4358-b5a3-263b7bfa66e6,dbb86e12-f2aa-4d95-a669-0c41b1bf0edf,C0115,28-06-2025,4,2,2529.59
5867710e-3d02-4fa1-ae6f-f291214ac776,45a0f2ef-6c28-41ea-b8f9-c9353c3f3951,C0982,04-07-2025,7,2,333.23
e94588dc-2b74-468a-b837-e5fd4169d744,6c17ed17-f3c5-4fc5-a270-b35e0efac2cf,C0613,14-07-2025,9,5,2090.3
d6b233d7-517d-4daf-8029-454d0f9e56ee,9a83a287-9765-4701-bdac-c20a058674c0,C0993,25-06-2025,4,2,77218.49
38fe6a5b-16b6-4c90-95ee-46aa461790de,5ee789b5-8c08-4473-99b3-8d8e6fe21486,C0104,13-07-2025,2,4,67788.99
8dc03adb-81a7-4a83-b361-a994fae74b75,e3a94aaa-5bae-4913-ac6f-b4965aa6edb8,C0407,02-07-2025,1,5,1682.77
fe67c705-aeb7-40fa-9dff-4107ed48e48f,04094c0c-75d5-422a-8f2a-82496e742788,C0772,04-07-2025,9,5,2275.65
6a219c62-848a-45a2-bf1e-5ccb6f1f3ea7,71c15a53-cde0-4a4c-bb01-3babd402bfa1,C0923,15-07-2025,8,5,1013.25
3c411aa2-0688-446e-814c-f64ccb5d89b6,6c5b6f42-89ea-440b-8d46-4cf6c29a97e4,C0705,18-07-2025,9,3,891.6
135b1a3d-9a70-4871-a2ca-a5d0579b3932,a7e7f557-8f92-40b1-9c73-772c8a84346b,C0930,20-06-2025,6,5,491.69
ae9738df-841f-498e-acb2-4153b079622a,32151784-6f5c-414e-8ef9-811bebcaa063,C0735,29-06-2025,8,2,850.31
616f1014-c356-4a46-9b27-84874075a5dc,c3acd953-135c-4b5e-b526-d79ad2c95dae,C0740,21-06-2025,9,2,1384.12
a9658b7b-b605-465b-8c3c-aefb0d1939cf,557250f0-e015-4bcd-8c51-1e092b2c6b49,C0096,03-07-2025,7,1,547.36
e47f98b3-a668-48c2-9496-67db8720d6c1,6c17ed17-f3c5-4fc5-a270-b35e0efac2cf,C0885,28-06-2025,1,5,2090.3
f6f256d1-17e6-4de7-bf09-35ed0a0249b2,bd4d44cf-1969-49bb-b665-a03ad174a5ee,C0692,14-07-2025,6,4,2811.72
aab0cd72-409d-4c98-96a4-48a0710168df,05ec42c7-2c21-4a8e-8a83-587c79694aac,C0982,22-06-2025,3,2,3279.82
39fce4fa-4d05-4675-9845-6943d761102c,45c28051-ed3e-41d4-afd5-2190b730f81b,C0371,15-07-2025,9,3,437.6
a441df22-cd9b-4d59-95ec-c0d8a5503457,5ee789b5-8c08-4473-99b3-8d8e6fe21486,C0648,15-07-2025,3,4,67788.99
53d3b153-2d7c-408e-b715-f57c4736a3f7,6c5b6f42-89ea-440b-8d46-4cf6c29a97e4,C0658,07-07-2025,9,1,891.6
f6d58de3-26d6-4602-9db8-2a7302cf4c9a,2a0e010c-abe0-477f-9dd5-d1cf0cc2ea75,C0790,25-06-2025,1,5,162.5
91edf92e-3f57-4141-9663-67a756ac1f64,5ee789b5-8c08-4473-99b3-8d8e6fe21486,C0891,10-07-2025,9,3,67788.99
1fbfb565-5845-4a73-8320-da291eb21dd2,8552792a-4006-4c5d-bdb4-acd3f5fe7e0e,C0988,23-06-2025,1,4,167.34
a1f5f3e9-958e-4ef6-86a8-d0be629c1126,77e87184-78fd-4423-b7a8-f5634798a9da,C0945,20-06-2025,3,1,368.62
3d588846-7b49-4a59-8998-fd0fd85412c8,c03cfe61-a668-4e34-9b2b-447aec91ee29,C0132,29-06-2025,10,3,2443
142e0fde-98de-4e2e-8fed-a9d2c5f3d39d,b9500856-e765-417d-9276-293d3ed35361,C0741,15-07-2025,4,2,55074.18
e7c262de-4ac5-4037-a19d-07f979312a96,8552792a-4006-4c5d-bdb4-acd3f5fe7e0e,C0272,07-07-2025,4,1,167.34
290abd18-8041-4bca-a341-b3f54d4598d1,c3acd953-135c-4b5e-b526-d79ad2c95dae,C0238,10-07-2025,8,1,1384.12
92ab3f34-2c13-484a-8ab7-903aee15af60,d49b56fe-0473-4206-8ad9-43b1232b8b7e,C0855,03-07-2025,10,5,1218.39
d8256caa-f073-40b4-857e-9ba5a690bdd9,e3a94aaa-5bae-4913-ac6f-b4965aa6edb8,C0466,13-07-2025,9,2,1682.77
f4cfcef8-fe57-4858-a542-07fd46532aff,b31fffa1-0fcb-4385-a2d1-d615dc0da11e,C0571,09-07-2025,7,3,3807.64
73eb9410-4f23-42ee-8762-3c2e460d7695,45c28051-ed3e-41d4-afd5-2190b730f81b,C0461,29-06-2025,6,5,437.6
9cd8d854-0d46-401a-8940-1d7181fef2aa,90fbba8d-4977-44aa-a7b7-159adf09220e,C0536,18-07-2025,1,4,10053.64
0e98d671-cccf-499f-88bf-32eb1c0ce89d,ab68a217-94b1-44a4-8891-c1c0bada5860,C0352,23-06-2025,9,3,969.48
32e8e2fe-d1e3-43f1-bfad-cb29a3f14cf8,d8224edc-5074-4762-bca8-024e74bd3c0e,C0241,16-07-2025,9,4,1963.96
d3e959f4-d951-4225-bdc8-6b242f7b2476,f6f981eb-5984-49f3-9746-e9e0f5d7a4f1,C0648,05-07-2025,1,1,4197.84
3afd7ff5-780d-4211-9ebe-0c884ca1dd82,90fbba8d-4977-44aa-a7b7-159adf09220e,C0901,26-06-2025,6,4,10053.64
3f92e360-1421-4da7-8bc5-395726dc35bd,00747120-f76e-436c-92b5-7277776c5852,C0779,11-07-2025,4,3,5383.51
86870bcf-17cf-4193-9580-f81dca27ac31,d8224edc-5074-4762-bca8-024e74bd3c0e,C0074,22-06-2025,7,3,1963.96
b3dcd5b9-9e31-49c8-84a8-54704ef13057,6c17ed17-f3c5-4fc5-a270-b35e0efac2cf,C0196,02-07-2025,4,4,2090.3
46305c9b-f0e6-41ae-b05f-a37a58e19441,47a451b8-de32-4b66-8cc1-2a940b98425a,C0994,17-07-2025,2,3,13513.71
