id,order_id,product_id,reason,refund_amount
e4530932-e262-4b6b-bfae-e6dfc9e2058c,623d4fb8-fb87-4e9b-a892-693605dee719,d49b56fe-0473-4206-8ad9-43b1232b8b7e,Button missing,2295.54
131a5f0c-b372-4788-af6b-10cf7e45aa6c,5a8374b8-c8d4-4d82-b25b-433e5c3c5e62,c682db57-0645-4448-9531-d30ffef7e63c,No visible results,361.66
7dba7f1f-1b9d-4579-a498-870aa6b8946a,f6774f9c-ff5c-4d35-8ebd-2279690284d8,71c15a53-cde0-4a4c-bb01-3babd402bfa1,Wood chipped,3596.58
eb3a8a21-0ffd-4395-a69b-772bc9ff26c0,32ed246b-520d-4056-b0dc-f6a2da27bf87,c03cfe61-a668-4e34-9b2b-447aec91ee29,Fabric too thin,2377.45
ae1b08b9-15e0-4d52-b2a9-d471e0855d8d,439a31f5-5c5c-4054-830e-c50cedcc0a6e,32151784-6f5c-414e-8ef9-811bebcaa063,Assembly issues,1594.06
58a25019-b5cb-4c2f-bab2-3af654e563ed,f30da0f6-35ef-4755-89a1-0e3ff227050d,fa59e100-5071-42c8-96ff-f07005c35100,Wobbly structure,483.5
946fa466-eb8c-4bfa-ac51-86d28d026104,934d9fc4-a311-4a28-9850-6ddecddca5c6,71c15a53-cde0-4a4c-bb01-3babd402bfa1,Missing parts,447.86
9b259942-ea48-4cf9-8114-8dfbd45b8630,cc91bae2-00e6-4d4c-813a-0b10071d309f,e3a94aaa-5bae-4913-ac6f-b4965aa6edb8,Item not durable,657.57
7b79fb11-b074-4bcc-8460-f299ca7717d9,2e1da2e4-0029-423d-9722-c7d10e3dacf7,8552792a-4006-4c5d-bdb4-acd3f5fe7e0e,Opened packaging,609.13
bf52f539-0edc-4f92-abb7-a831f40435eb,c8e1c1fb-d8a4-428d-a81e-489d121d7841,f066e175-282b-4530-a45c-185d2a2788b7,Broken bottle,139.48
0bfbfc7a-7520-440c-9ee1-3cc2228a2fd9,c3a59f3f-414b-4b25-bb6c-03475646f609,32151784-6f5c-414e-8ef9-811bebcaa063,Assembly issues,290.5
e4a10ff7-0c8c-4b70-947e-64fecb942449,a36a3ce8-3f41-4202-af3a-47217d045869,90fbba8d-4977-44aa-a7b7-159adf09220e,Irritated skin,9722.31
14702f57-bf2c-416d-96fc-41da4e7b922a,ec870bc9-ebda-4ea1-a04f-ab11e0e863f2,bd4d44cf-1969-49bb-b665-a03ad174a5ee,Not as expected,4197.67
0c723ae6-4ad5-4237-9601-1669f4531603,c1c0e876-e564-4804-adfd-092556aa477f,45c28051-ed3e-41d4-afd5-2190b730f81b,Product expired,530
91242a23-afd5-46af-8d5f-e99163c15f62,a3b72ad7-ccf2-42ea-9f26-98bf9eaa6276,00747120-f76e-436c-92b5-7277776c5852,Wood chipped,3374.96
0f38e056-043f-46dd-afa0-864ac053359d,acdbd982-fd12-479a-bcb1-4efe5429aa23,5f5addf5-a05e-4f07-9f8d-0f51417e1de8,Battery issue,63202.34
72c86873-0893-4394-9e0a-9f91cba0e374,3c19affc-995c-4f36-aa0d-453303fe7e47,d49b56fe-0473-4206-8ad9-43b1232b8b7e,Fabric too thin,506
9dbf0c66-3a66-4c97-b60a-85d0a744de88,1e4a3998-172b-4623-bce1-9e4b15e17346,fa59e100-5071-42c8-96ff-f07005c35100,Doesnâ€™t fit room,2008.21
ac6a514f-9fca-4b47-aaef-40336b5cfbe5,4a70a894-78ce-4925-98ae-1dd3723d09d8,5ee789b5-8c08-4473-99b3-8d8e6fe21486,Doesnâ€™t support features,136106.99
8642e681-5978-47bd-bc23-c9f151e44105,b87a23ec-53f0-4799-bfdc-5e4104789dfd,fdba8147-a03c-433a-a26e-36240a1f3ef6,Item not durable,322.16
243bb717-f417-452e-8f51-335321dcf31a,af085cf3-911a-4170-9911-030ee6d6eb5d,6879eb7f-e795-4a71-884a-a9c26455ae0b,Shrinkage after wash,2260.65
bf8e1650-3ab6-4393-a2dc-5b5d9c8106fa,7440928b-e034-4131-8db7-3ff96183878c,ab68a217-94b1-44a4-8891-c1c0bada5860,Shrinkage after wash,1501.06
e8204b70-06ee-40b6-8642-530b056d75d9,3fcb2a39-bc2e-438d-aca8-5a8618c63c53,c3acd953-135c-4b5e-b526-d79ad2c95dae,Size mismatch,2445.91
f34a0a09-e0be-4adc-8f2f-d8059204a4ef,a62fec04-81a0-47b7-8128-ad462b5939bc,9a83a287-9765-4701-bdac-c20a058674c0,Screen cracked,155544.48
bd74278c-7d24-42d7-8786-c2723f9e3ed4,856894a0-887c-407f-96de-ad0e1c2af91d,45a0f2ef-6c28-41ea-b8f9-c9353c3f3951,Wrong product delivered,1332.73
1e43bfb0-8303-4635-a556-1c179130adf2,7ec1bb7e-233b-45cc-91a2-cf9580a7e8ca,71c15a53-cde0-4a4c-bb01-3babd402bfa1,Assembly issues,1714.88
0669cad1-f08b-4001-a5b7-88430e59b0ec,8e5d9ac4-0b40-4431-a4f3-60bed05d1d19,e4fc91b1-1f44-474a-8344-2f967fd2ea09,Wrong size,554.25
19e882d3-4e59-4912-9774-f7c7b26263a4,d49a08e7-c8de-49ff-bb68-9d45f0d63e2b,b9500856-e765-417d-9276-293d3ed35361,Short circuit,127423.14
a773c258-c808-435c-9db9-cd695f2910a1,b758eb58-8cf2-4206-bb6d-d8bc21ff6174,e4fc91b1-1f44-474a-8344-2f967fd2ea09,Doesnâ€™t fit room,1319.4
9be79482-25fb-4974-82aa-e92391001654,de666b89-9de0-4c7c-bc60-160af2933757,b31fffa1-0fcb-4385-a2d1-d615dc0da11e,Short circuit,4505.46
c8ee7632-3e2d-43fe-a9d5-9934b43d35f4,d127fa32-70dc-45ec-b694-a4a1602e75e6,fa59e100-5071-42c8-96ff-f07005c35100,Wood chipped,3565.4
1f869a21-3fc4-4d48-a3e5-3e9583f1e715,f025df8d-f870-46ad-a892-5d6b4dd06a86,6de52e8f-1b55-4ff2-85b2-dc8414a17ea0,Irritated skin,2028.43
aa33fce3-f1b5-41dd-a23d-fd4674adf18d,309102cc-f97c-4a6f-ab12-ab47b08dae87,b31fffa1-0fcb-4385-a2d1-d615dc0da11e,Not as described,14731.98
53b94dad-c732-4b70-90b4-1003b0530739,19e26437-c4ac-4ca4-9d46-2abaea4e2437,557250f0-e015-4bcd-8c51-1e092b2c6b49,Wrong shade,1335.73
c8a46f77-c79e-475d-aaf7-c55980098add,89eb47c4-d814-4031-b971-00b077d77f7d,47a451b8-de32-4b66-8cc1-2a940b98425a,No visible results,60127.22
20c4ed90-bb5d-4cd6-8209-ce2262000c1a,673bc6ab-ff23-4034-864e-217a0b075318,6879eb7f-e795-4a71-884a-a9c26455ae0b,Shrinkage after wash,526.86
cdf02b91-377f-468d-90a1-8b669f521352,4e0eac36-47ef-461a-8293-a7b21d840c18,f066e175-282b-4530-a45c-185d2a2788b7,Irritated skin,101.92
d8514f1d-d39c-4622-8b71-fa732e186007,4a5e345f-3eb7-4b8a-b585-dcb8db096202,e4fc91b1-1f44-474a-8344-2f967fd2ea09,Assembly issues,928.47
3f68f1d6-37dd-4597-ad45-217265c70f11,a58a0412-745b-4033-a86f-fd24b31b0e36,45c28051-ed3e-41d4-afd5-2190b730f81b,No visible results,1207.4
508d7b8d-e91a-4e5f-ad08-c2ed25a7b381,e0a39f6a-a371-4860-a714-d0129790b05c,9a83a287-9765-4701-bdac-c20a058674c0,Battery issue,144706.52
4d27c656-c839-4b1f-ae97-f6e2551fb540,56273ec6-886a-42ff-96ad-eae9153144b3,df16470e-2c5e-4b4c-8cdf-0fef20bdd005,Wrong size,1892.06
d3280903-cdfe-4741-8d8e-521698488a60,54e29b95-5cef-4f02-8542-4c1c291ede43,00747120-f76e-436c-92b5-7277776c5852,Doesnâ€™t fit room,8707.07
a3e5a468-5cf8-4fad-9767-ff3283ca2e0e,bc407295-a88a-4894-bcaf-e83e607d34c1,b7f29566-7097-47cc-8aa9-f721e40171f3,Doesnâ€™t fit room,5134.9
e22fd6c1-9bac-4bfc-98c8-340c567ef98e,45d657c7-d716-496b-968d-6db0a15bcefd,90fbba8d-4977-44aa-a7b7-159adf09220e,Product expired,34751.37
95421d12-7d08-4870-9b55-0c769c0875d9,47bcdcfb-c99f-49de-a5f5-6211ac2a8b90,dbb86e12-f2aa-4d95-a669-0c41b1bf0edf,Scratched surface,12015.78
4d7175a4-0f1d-4915-8d70-6c4b53978902,4405580d-e1d7-4836-84dd-9b25b33d7663,6de52e8f-1b55-4ff2-85b2-dc8414a17ea0,Opened packaging,1096.43
